year,state,state_po,office,district,stage,special,candidate,party_detailed,party_simplified,candidatevotes,totalvotes
2004,ALABAMA,AL,US SENATE,statewide,gen,FALSE,NA,NA,OTHER,1848,1839066
2004,ALABAMA,AL,US SENATE,statewide,gen,FALSE,RICHARD C. SHELBY,REPUBLICAN,REPUBLICAN,1242200,1839066
2004,ALABAMA,AL,US SENATE,statewide,gen,FALSE,WAYNE SOWELL,DEMOCRAT,DEMOCRAT,595018,1839066
2004,ALASKA,AK,US SENATE,statewide,gen,FALSE,JIM SKYES,GREEN,OTHER,3053,308315
2004,ALASKA,AK,US SENATE,statewide,gen,FALSE,TONY KNOWLES,DEMOCRAT,DEMOCRAT,140424,308315
2004,ALASKA,AK,US SENATE,statewide,gen,FALSE,LISA MURKOWSKI,REPUBLICAN,REPUBLICAN,149773,308315
2004,ALASKA,AK,US SENATE,statewide,gen,FALSE,NA,NA,OTHER,423,308315
2004,ALASKA,AK,US SENATE,statewide,gen,FALSE,SCOTT A. KOHLHAAS,ALASKA LIBERTARIAN,OTHER,1240,308315
2004,ALASKA,AK,US SENATE,statewide,gen,FALSE,MARC J. MILLICAN,NONPARTISAN,OTHER,8885,308315
2004,ALASKA,AK,US SENATE,statewide,gen,FALSE,JERRY SANDERS,ALASKAN INDEPENDENCE,OTHER,3785,308315
2004,ALASKA,AK,US SENATE,statewide,gen,FALSE,"TED ""BIG"" GIANOUTSOS",NONPARTISAN,OTHER,732,308315
2004,ARIZONA,AZ,US SENATE,statewide,gen,FALSE,ERNEST HANCOCK,LIBERTARIAN,LIBERTARIAN,51798,1961677
2004,ARIZONA,AZ,US SENATE,statewide,gen,FALSE,STUART STARKY,DEMOCRAT,DEMOCRAT,404507,1961677
2004,ARIZONA,AZ,US SENATE,statewide,gen,FALSE,JOHN MCCAIN,REPUBLICAN,REPUBLICAN,1505372,1961677
2004,ARKANSAS,AR,US SENATE,statewide,gen,FALSE,GLEN A. SCHWARZ,,OTHER,212,1039349
2004,ARKANSAS,AR,US SENATE,statewide,gen,FALSE,NA,NA,OTHER,128,1039349
2004,ARKANSAS,AR,US SENATE,statewide,gen,FALSE,BLANCHE L. LINCOLN,DEMOCRAT,DEMOCRAT,580973,1039349
2004,ARKANSAS,AR,US SENATE,statewide,gen,FALSE,JIM HOLT,REPUBLICAN,REPUBLICAN,458036,1039349
2004,CALIFORNIA,CA,US SENATE,statewide,gen,FALSE,BARBARA BOXER,DEMOCRAT,DEMOCRAT,6955728,12053295
2004,CALIFORNIA,CA,US SENATE,statewide,gen,FALSE,DON J. GRUNDMANN,AMERICAN INDEPENDENT,OTHER,81224,12053295
2004,CALIFORNIA,CA,US SENATE,statewide,gen,FALSE,"JAMES P. ""JIM"" GRAY",LIBERTARIAN,LIBERTARIAN,216522,12053295
2004,CALIFORNIA,CA,US SENATE,statewide,gen,FALSE,MARSHA FEINLAND,PEACE AND FREEDOM,OTHER,243846,12053295
2004,CALIFORNIA,CA,US SENATE,statewide,gen,FALSE,NA,NA,OTHER,53,12053295
2004,CALIFORNIA,CA,US SENATE,statewide,gen,FALSE,BILL JONES,REPUBLICAN,REPUBLICAN,4555922,12053295
2004,COLORADO,CO,US SENATE,statewide,gen,FALSE,KEN SALAZAR,DEMOCRAT,DEMOCRAT,1081188,2107472
2004,COLORADO,CO,US SENATE,statewide,gen,FALSE,FINN GOTAAS,UNAFFILIATED,OTHER,1750,2107472
2004,COLORADO,CO,US SENATE,statewide,gen,FALSE,"DOUGLAS ""DAYHORSE"" CAMPBELL",AMERICAN CONSTITUTION,OTHER,18783,2107472
2004,COLORADO,CO,US SENATE,statewide,gen,FALSE,RICHARD RANDALL,LIBERTARIAN,LIBERTARIAN,10160,2107472
2004,COLORADO,CO,US SENATE,statewide,gen,FALSE,VICTOR GOOD,REFORM,OTHER,6481,2107472
2004,COLORADO,CO,US SENATE,statewide,gen,FALSE,PETE COORS,REPUBLICAN,REPUBLICAN,980668,2107472
2004,COLORADO,CO,US SENATE,statewide,gen,FALSE,JOHN R. HARRIS,INDEPENDENT,OTHER,8442,2107472
2004,CONNECTICUT,CT,US SENATE,statewide,gen,FALSE,LEONARD H. RASCH,LIBERTARIAN,LIBERTARIAN,9188,1424726
2004,CONNECTICUT,CT,US SENATE,statewide,gen,FALSE,JACK C. ORCHULLI,REPUBLICAN,REPUBLICAN,457749,1424726
2004,CONNECTICUT,CT,US SENATE,statewide,gen,FALSE,CHRISTOPHER J. DODD,DEMOCRAT,DEMOCRAT,945347,1424726
2004,CONNECTICUT,CT,US SENATE,statewide,gen,FALSE,TIMOTHY A. KNIBBS,CONCERNED CITIZENS,OTHER,12442,1424726
2004,FLORIDA,FL,US SENATE,statewide,gen,FALSE,NA,NA,OTHER,16,7429894
2004,FLORIDA,FL,US SENATE,statewide,gen,FALSE,NA,NA,OTHER,27,7429894
2004,FLORIDA,FL,US SENATE,statewide,gen,FALSE,NA,NA,OTHER,119,7429894
2004,FLORIDA,FL,US SENATE,statewide,gen,FALSE,MEL MARTINEZ,REPUBLICAN,REPUBLICAN,3672864,7429894
2004,FLORIDA,FL,US SENATE,statewide,gen,FALSE,NA,NA,OTHER,25,7429894
2004,FLORIDA,FL,US SENATE,statewide,gen,FALSE,BETTY CASTOR,DEMOCRAT,DEMOCRAT,3590201,7429894
